
Name                         Lines Directory
useNoteController.ts            64 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
index.ts                        64 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
FinancialOverview.tsx           62 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
PatientHeader.tsx               61 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
invoiceTemplate.ts              61 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
SystemActivity.tsx              60 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
ConfirmationModal.tsx           59 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
ErrorBoundary.tsx               57 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
ClinicModal.tsx                 56 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
ClinicalTemplates.tsx           55 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
FAQ.tsx                         53 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
AuditView.tsx                   53 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
KPICard.tsx                     52 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
useInvoiceController.ts         52 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
useReportController.ts          49 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
Button.tsx                      48 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
About.tsx                       48 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
useUIStore.ts                   47 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
storage.ts                      46 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
useSettingsController.ts        45 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
SeoHead.tsx                     44 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
SeoHead.tsx                     44 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
SettingsRepository.ts           43 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
StatsCards.tsx                  40 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
en.ts                           39 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
CourseModal.tsx                 39 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
billing.ts                      38 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
BookModal.tsx                   38 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
Testimonials.tsx                38 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
SpotlightCard.tsx               37 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
EmptyState.tsx                  37 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
es.ts                           37 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
index.html                      35 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
App.tsx                         35 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
SidebarAgenda.tsx               32 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
PatientTabs.tsx                 31 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
Privacy.tsx                     31 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
useInstallPrompt.ts             30 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
Footer.tsx                      30 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
ThemeContext.tsx                29 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
LoadingSpinner.tsx              29 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
firebase.ts                     29 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
confetti.ts                     29 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
main.tsx                        28 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
restore-firestore.ts            27 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
PatientAvatar.tsx               27 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
index.html                      25 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
Card.tsx                        25 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
Terms.tsx                       24 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
NotFound.tsx                    23 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
client.ts                       23 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
Badge.tsx                       22 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
OfflineIndicator.tsx            22 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
useOnScreen.ts                  22 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
queryKeys.ts                    22 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
StatsService.ts                 21 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
tailwind.config.js              21 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
tailwind.config.js              20 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
useScrollDirection.ts           20 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
backup-firestore.ts             20 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
useCountUp.ts                   19 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
vite-env.d.ts                   19 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
Toast.tsx                       19 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
PageTransition.tsx              18 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
i18n.ts                         18 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
